,Makespan,Throughput,Total CPU Time,Total Wait Time,Avg Execution Time,Avg Wait Time,Imbalance Degree,Resource Utilization,run_id
0,51.421999999991385,0.9723464664931036,678.4210000000312,780.3220000004803,13.568420000000623,15.606440000009606,1.817543973432425,0.8795470161929976,1.0
1,53.109000000025844,0.9414600161926542,647.6949999999779,689.4529999999795,12.953899999999557,13.78905999999959,1.8637475972489699,0.8130385935838405,2.0
2,51.703000000008615,0.9477206351660801,659.7319999999891,733.2060000000929,13.463918367346716,14.963387755103938,2.191223102714641,0.8506688844617387,3.0
3,51.96899999998277,0.9621120283248971,662.4219999999332,775.8629999997793,13.248439999998663,15.517259999995586,1.8198369015521907,0.8497655653692943,4.0
4,51.921999999991385,0.9629829359425349,678.5459999998857,827.2219999997178,13.570919999997713,16.544439999994356,1.7962113106552695,0.8712376256692709,5.0
5,52.984000000025844,0.9436811112784164,682.2160000002186,752.3990000004123,13.644320000004372,15.047980000008247,1.7496276839005818,0.8583924706828299,6.0
6,51.85899999999674,0.9641527989356359,682.8720000000321,712.9210000000021,13.657440000000642,14.258420000000042,1.7753078175705261,0.8778572668197421,7.0
7,52.719000000011874,0.9484246666285161,689.8639999999723,755.0179999999818,13.797279999999446,15.100359999999636,1.790486240766087,0.8723787122919844,8.0
8,51.73399999999674,0.9664823906909025,688.7919999998412,734.0349999997416,13.775839999996824,14.68069999999483,1.8120303371698614,0.8876071184648195,9.0
9,51.890999999974156,0.9635582278241873,681.2679999998363,817.8679999994929,13.625359999996727,16.357359999989857,1.8218909445327613,0.8752551823375609,10.0
Average,52.13120000000053,0.9572921277476928,675.1827999999717,757.830699999968,13.530583836734127,15.186540775509567,1.8437905909543315,0.8635748435874078,
